Aisle,Products
A1,"Produce, Fruits, Vegetables, Packaged Produce"
A2,"Desserts, Ice Cream"
A3,"Frozen Bread, Frozen Pizza"
A4,"Frozen Meals, Frozen Vegetables, Frozen Snacks, Frozen Chicken"
A5,"Frozen Breakfast"
A6,"Cold Beer"
A7,"Wine"
A8,"Liquor"
A9,"Pickles, Condiments, Salad Dressing"
A10,"Pasta, Spaghetti Sauce, Canned Beans"
A11,"Box Dinners, Mac-n-Cheese, Gravy Mix, Sauce Mix"
A12,"Canned Soup, Canned Meat, Canned Tuna, Canned Chili"
A13,"International Foods, Rice, Dry Beans, Tortillas, Salsa"
A14,"Cake Mix, Frosting, Jello, Syrup, Pancake Mix, Vinegar, Spices"
A15,"Peanut Butter, Jelly, Honey, Cooking Oil, Flour, Sugar"
A16,"Bread, Buns, Tea, Creamer, Coffee"
A17,"Pop-Tarts, Cereal, Granola"
A18,"Cookies, Crackers, Nuts, Trail Mix"
A19,"Candy, Pudding, Healthy Snacks"
A20,"Fruit Snacks, Snack Bars, Granola Bars, Snack Cakes"
A21,"Popcorn, Pretzels, Chips, Dips"
A22,"Juice"
A23,"Bottled Water, Sports Drinks, Flavored Water"
A24,"Soft Drinks"
A25,"Trash Bags, Paper Plates, Facial Tissue"
A26,"Paper Towels"
A27,"Air Fresheners, Dish Detergent, Bathroom Tissue"
A28,"Laundry Detergent, Bleach"
A29,"Mops, Brooms, All Purpose Cleaners"
A30,"Eggs, Cheese, Biscuits"
A31,"Yogurt, Sour Cream, Milk, Specialty Milk"
A32,"Bacon, Sausage, Frozen Seafood, Beef, Lunch Meat"
A33,"Bakery, Deli"
